========== Whole Struct Corruption ==========
========== .libs/testapi (tree.c) ==========
xmlAddSibling - elem - 49
xmlAddSibling - elem - 50
xmlAddSibling - elem - 51
xmlAddSibling - elem - 52
xmlAddSibling - elem - 53
xmlAddSibling - elem - 54
xmlAddSibling - elem - 55
xmlAddSibling - elem - 56
xmlAddSibling - elem - 57
xmlAddSibling - elem - 58
xmlAddSibling - elem - 59
xmlAddSibling - elem - 60
xmlAddSibling - elem - 61
xmlAddSibling - elem - 62
xmlAddSibling - elem - 63
xmlAddSibling - elem - 64
xmlAddSibling - elem - 65
xmlAddSibling - elem - 66
xmlAddSibling - elem - 67
xmlAddSibling - elem - 68
xmlAddSibling - elem - 69
xmlAddSibling - elem - 70
xmlAddSibling - elem - 71
xmlNodeAddContentLen - cur - 0
xmlNodeAddContentLen - cur - 1
xmlNodeAddContentLen - cur - 9
xmlNodeAddContentLen - cur - 10
xmlNodeAddContentLen - cur - 11
xmlNodeAddContentLen - cur - 18
xmlNodeAddContentLen - cur - 20
xmlNodeAddContentLen - cur - 24
xmlNodeAddContentLen - cur - 26
xmlNodeAddContentLen - cur - 27
xmlNodeAddContentLen - cur - 33
xmlNodeAddContentLen - cur - 34
xmlNodeAddContentLen - cur - 36
xmlNodeAddContentLen - cur - 37
xmlNodeAddContentLen - cur - 38
xmlNodeAddContentLen - cur - 39
xmlNodeAddContentLen - cur - 41
xmlNodeAddContentLen - cur - 42
xmlNodeAddContentLen - cur - 43
xmlNodeAddContentLen - cur - 44
xmlNodeAddContentLen - cur - 45
xmlNodeAddContentLen - cur - 48
xmlNodeAddContentLen - cur - 55
xmlNodeAddContentLen - cur - 59
xmlNodeAddContentLen - cur - 63
xmlNodeAddContentLen - cur - 65
xmlNodeAddContentLen - cur - 69
xmlNodeAddContentLen - cur - 70
========== Stuck Skip ==========
xmlStaticCopyNodeList - node - 0
xmlAddChildList - cur - 8
xmlAddChildList - cur - 9
xmlAddChildList - cur - 10
xmlAddChildList - cur - 11
xmlAddChildList - cur - 12
xmlAddChildList - cur - 13
xmlAddChildList - cur - 14
xmlAddChildList - cur - 15
xmlAddPrevSibling - elem - 8
xmlAddPrevSibling - elem - 9
xmlAddPrevSibling - elem - 10
xmlAddPrevSibling - elem - 11
xmlAddPrevSibling - elem - 12
xmlAddPrevSibling - elem - 13
xmlAddPrevSibling - elem - 14
xmlAddPrevSibling - elem - 15
xmlBufGetNodeContent - cur - 56
xmlBufGetNodeContent - cur - 57
xmlBufGetNodeContent - cur - 58
xmlBufGetNodeContent - cur - 59
xmlBufGetNodeContent - cur - 60
xmlBufGetNodeContent - cur - 61
xmlBufGetNodeContent - cur - 62
xmlBufGetNodeContent - cur - 63
xmlCopyPropList - cur - 9
xmlCopyPropList - cur - 10
xmlCopyPropList - cur - 11
xmlCopyPropList - cur - 12
xmlCopyPropList - cur - 13
xmlCopyPropList - cur - 14
xmlCopyPropList - cur - 15
xmlDOMWrapReconcileNamespaces - elem - 72
xmlDOMWrapReconcileNamespaces - elem - 73
xmlDOMWrapReconcileNamespaces - elem - 74
xmlDOMWrapReconcileNamespaces - elem - 75
xmlDOMWrapReconcileNamespaces - elem - 76
xmlDOMWrapReconcileNamespaces - elem - 77
xmlDOMWrapReconcileNamespaces - elem - 78
xmlDOMWrapReconcileNamespaces - elem - 79
xmlDocCopyNodeList - node - 8
xmlDocCopyNodeList - node - 9
xmlDocCopyNodeList - node - 10
xmlDocCopyNodeList - node - 11
xmlDocCopyNodeList - node - 12
xmlDocCopyNodeList - node - 13
xmlDocCopyNodeList - node - 14
xmlDocCopyNodeList - node - 15
xmlNodeBufGetContent - cur - 8
xmlNodeBufGetContent - cur - 9
xmlNodeBufGetContent - cur - 10
xmlNodeBufGetContent - cur - 11
xmlNodeBufGetContent - cur - 12
xmlNodeBufGetContent - cur - 13
xmlNodeBufGetContent - cur - 14
xmlNodeBufGetContent - cur - 15
xmlNodeGetBase - cur - 40
xmlNodeGetBase - cur - 41
xmlNodeGetBase - cur - 42
xmlNodeGetBase - cur - 43
xmlNodeGetBase - cur - 44
xmlNodeGetBase - cur - 45
xmlNodeGetBase - cur - 46
xmlNodeGetBase - cur - 47
